run,route_idx,route_label,bin_label,bin_value,argmax_count,argmax_rate,true_nearest_count,true_nearest_rate,avg_probability
gptoss_eval,0,primary_model,A,0.0,39,0.21910112359550563,31,0.17415730337078653,0.18410117698707776
gptoss_eval,0,primary_model,B,0.05,0,0.0,2,0.011235955056179775,0.010554668468716189
gptoss_eval,0,primary_model,C,0.1,0,0.0,2,0.011235955056179775,0.032451126054602965
gptoss_eval,0,primary_model,D,0.15,3,0.016853932584269662,13,0.07303370786516854,0.05258526096514196
gptoss_eval,0,primary_model,E,0.2,29,0.16292134831460675,10,0.056179775280898875,0.07356536436304084
gptoss_eval,0,primary_model,F,0.25,70,0.39325842696629215,16,0.0898876404494382,0.08478605695866084
gptoss_eval,0,primary_model,G,0.3,3,0.016853932584269662,19,0.10674157303370786,0.0714966359218727
gptoss_eval,0,primary_model,H,0.35,0,0.0,15,0.08426966292134831,0.06044986859147133
gptoss_eval,0,primary_model,I,0.4,0,0.0,12,0.06741573033707865,0.052056547923364616
gptoss_eval,0,primary_model,J,0.45,3,0.016853932584269662,12,0.06741573033707865,0.05391485085217508
gptoss_eval,0,primary_model,K,0.5,2,0.011235955056179775,10,0.056179775280898875,0.048285162886368915
gptoss_eval,0,primary_model,L,0.55,5,0.028089887640449437,5,0.028089887640449437,0.04710401451817499
gptoss_eval,0,primary_model,M,0.6,2,0.011235955056179775,7,0.03932584269662921,0.03954524819774694
gptoss_eval,0,primary_model,N,0.65,1,0.0056179775280898875,10,0.056179775280898875,0.03968629548288018
gptoss_eval,0,primary_model,O,0.7,2,0.011235955056179775,3,0.016853932584269662,0.03270420795756048
gptoss_eval,0,primary_model,P,0.75,2,0.011235955056179775,1,0.0056179775280898875,0.027499957343990716
gptoss_eval,0,primary_model,Q,0.8,0,0.0,3,0.016853932584269662,0.018515705773075226
gptoss_eval,0,primary_model,R,0.85,0,0.0,1,0.0056179775280898875,0.017245298041643126
gptoss_eval,0,primary_model,S,0.9,0,0.0,2,0.011235955056179775,0.014390709567609255
gptoss_eval,0,primary_model,T,0.95,17,0.09550561797752809,3,0.016853932584269662,0.02607455345058584
gptoss_eval,0,primary_model,U,1.0,0,0.0,1,0.0056179775280898875,0.012987291776630373
gptoss_eval,1,expert_0:openai/gpt-oss-120b,A,0.0,116,0.651685393258427,31,0.17415730337078653,0.10715576372203532
gptoss_eval,1,expert_0:openai/gpt-oss-120b,B,0.05,0,0.0,2,0.011235955056179775,0.02181329376592688
gptoss_eval,1,expert_0:openai/gpt-oss-120b,C,0.1,0,0.0,5,0.028089887640449437,0.043293044303303184
gptoss_eval,1,expert_0:openai/gpt-oss-120b,D,0.15,1,0.0056179775280898875,7,0.03932584269662921,0.06136598751953479
gptoss_eval,1,expert_0:openai/gpt-oss-120b,E,0.2,5,0.028089887640449437,5,0.028089887640449437,0.07088015946360786
gptoss_eval,1,expert_0:openai/gpt-oss-120b,F,0.25,22,0.12359550561797752,17,0.09550561797752809,0.07750962862975141
gptoss_eval,1,expert_0:openai/gpt-oss-120b,G,0.3,0,0.0,11,0.06179775280898876,0.061311252226822835
gptoss_eval,1,expert_0:openai/gpt-oss-120b,H,0.35,0,0.0,11,0.06179775280898876,0.05509975349551506
gptoss_eval,1,expert_0:openai/gpt-oss-120b,I,0.4,0,0.0,6,0.033707865168539325,0.05546043535924695
gptoss_eval,1,expert_0:openai/gpt-oss-120b,J,0.45,0,0.0,14,0.07865168539325842,0.04379709641543332
gptoss_eval,1,expert_0:openai/gpt-oss-120b,K,0.5,1,0.0056179775280898875,13,0.07303370786516854,0.049267221053832036
gptoss_eval,1,expert_0:openai/gpt-oss-120b,L,0.55,0,0.0,6,0.033707865168539325,0.04360015267045813
