split,n,mean_tokens_20b,mean_tokens_120b,mean_abs_token_diff,median_abs_token_diff,p90_abs_token_diff,mean_token_length_ratio,pct_token_ratio_ge_2x,pct_token_ratio_ge_4x,pct_token_abs_diff_ge_1000,pct_token_abs_diff_ge_4000,mean_visible_chars_20b,mean_visible_chars_120b,mean_abs_char_diff,median_abs_char_diff,p90_abs_char_diff,mean_char_length_ratio,pct_char_ratio_ge_2x,pct_char_ratio_ge_4x,pct_char_abs_diff_ge_2000,pct_char_abs_diff_ge_8000,n_success_disagreement,n_same_success_status
train,1146,2135.9616055846423,1263.4066317626528,1074.916230366492,407.0,2582.0,1.870764253205132,0.2591623036649215,0.05410122164048865,0.2696335078534031,0.0506108202443281,1528.1998254799303,2286.807155322862,1193.495636998255,780.5,2433.0,30.481131360059514,0.45287958115183247,0.11343804537521815,0.14659685863874344,0.009598603839441536,181,965
train_success_disagree,181,2418.265193370166,1301.342541436464,1337.1767955801106,554.0,3195.0,2.010573767158973,0.287292817679558,0.08287292817679558,0.30939226519337015,0.06629834254143646,1444.46408839779,2237.033149171271,1102.5469613259668,854.0,2108.0,45.22371330607818,0.4419889502762431,0.12154696132596685,0.12154696132596685,0.0055248618784530384,181,0
train_same_success,965,2083.0113989637307,1256.2911917098445,1025.7253886010362,398.0,2478.4,1.8445409143184526,0.2538860103626943,0.04870466321243523,0.2621761658031088,0.04766839378238342,1543.9056994818652,2296.1430051813472,1210.5544041450778,771.0,2477.6000000000004,27.7159424147441,0.45492227979274613,0.11191709844559586,0.15129533678756477,0.010362694300518135,0,965
eval,286,2317.6748251748254,1249.4475524475524,1239.8356643356644,353.5,2645.0,2.01215457408969,0.2517482517482518,0.06993006993006994,0.25874125874125875,0.07692307692307693,1605.7937062937062,2233.083916083916,1178.3041958041958,777.5,2513.0,46.0102278412072,0.3881118881118881,0.1258741258741259,0.13986013986013987,0.006993006993006993,48,238
eval_success_disagree,48,2214.8125,1104.9583333333333,1331.4375,426.5,2803.600000000002,2.6623854699379366,0.2916666666666667,0.125,0.2708333333333333,0.08333333333333333,1678.6041666666667,1882.875,1516.3125,822.0,2627.3000000000006,3.4546147807299534,0.4583333333333333,0.1875,0.1875,0.020833333333333332,48,0
eval_same_success,238,2338.4201680672268,1278.5882352941176,1221.361344537815,345.5,2637.0,1.8810155698850015,0.24369747899159663,0.058823529411764705,0.25630252100840334,0.07563025210084033,1591.109243697479,2303.714285714286,1110.1344537815125,743.5,2477.9000000000005,54.59287249205975,0.3739495798319328,0.1134453781512605,0.13025210084033614,0.004201680672268907,0,238
all,1432,2172.2534916201116,1260.6187150837989,1107.8540502793296,401.0,2629.0000000000027,1.899002822879003,0.25768156424581007,0.05726256983240224,0.2674581005586592,0.055865921787709494,1543.6969273743016,2276.0775139664806,1190.4615921787708,779.5,2457.000000000002,33.58261291984181,0.4399441340782123,0.11592178770949721,0.1452513966480447,0.009078212290502794,229,1203
all_success_disagree,229,2375.6200873362445,1260.17903930131,1335.9737991266375,523.0,3163.000000000001,2.1471980542043454,0.28820960698689957,0.09170305676855896,0.30131004366812225,0.06986899563318777,1493.5414847161571,2162.7991266375548,1189.2751091703058,842.0,2301.600000000001,36.46861841866895,0.44541484716157204,0.13537117903930132,0.13537117903930132,0.008733624454148471,229,0
all_same_success,1203,2133.5411471321695,1260.7024106400665,1064.4297589359933,391.0,2569.7999999999993,1.8517570140897235,0.2518703241895262,0.05070656691604322,0.26101413133832085,0.05320033250207814,1553.2443890274315,2297.640897755611,1190.6874480465503,769.0,2480.7999999999993,33.03324030202683,0.4389027431421446,0.11221945137157108,0.14713216957605985,0.00914380714879468,0,1203
