method,route,n,true_success_rate,pred_success_rate_at_0_5,accuracy_at_0_5,balanced_accuracy_at_0_5,recall_success,recall_failure,roc_auc,mean_pred_prob,tp,tn,fp,fn
reward_bce_r32_qkvo_mlp_input_only_10epoch,OSS20,286,0.3881118881118881,0.4160839160839161,0.6503496503496503,0.6385070785070786,0.5855855855855856,0.6914285714285714,0.6787644787644788,0.4502743665988629,65,121,54,46
reward_bce_input_only_10epoch,OSS120,286,0.47202797202797203,0.3986013986013986,0.6118881118881119,0.6065489330389993,0.5111111111111111,0.7019867549668874,0.6472651459406427,0.46137188468779716,69,106,45,66
reward_bce_input_only_10epoch,OSS20,286,0.3881118881118881,0.3776223776223776,0.6468531468531469,0.6257657657657658,0.5315315315315315,0.72,0.6413127413127413,0.4280008709097242,59,126,49,52
reward_bce_r32_qkvo_mlp_semantic_code_only_input_only_10epoch,OSS120,286,0.47202797202797203,0.46153846153846156,0.6118881118881119,0.6100809418690213,0.5777777777777777,0.6423841059602649,0.647093451066961,0.46949651535157555,78,97,54,57
reward_bce_r32_qkvo_mlp_semantic_code_only_input_only_10epoch,OSS20,286,0.3881118881118881,0.4195804195804196,0.6258741258741258,0.6135649935649936,0.5585585585585585,0.6685714285714286,0.6354954954954954,0.42148734910504804,62,117,58,49
joint_outcome_oversample_r32_qkvo_mlp_input_only_10epoch,OSS120,286,0.47202797202797203,0.951048951048951,0.458041958041958,0.4832229580573951,0.9333333333333333,0.033112582781456956,0.5751042433161638,0.608838780828706,126,5,146,9
joint_outcome_oversample_r32_qkvo_mlp_input_only_10epoch,OSS20,286,0.3881118881118881,0.04895104895104895,0.6188811188811189,0.5188931788931789,0.07207207207207207,0.9657142857142857,0.6287773487773488,0.38641560880037457,8,169,6,103
route_classifier_cheapest_success_r32_qkvo_mlp_input_only_10epoch,OSS120,286,0.47202797202797203,0.0,0.527972027972028,0.5,0.0,1.0,0.48192298258523425,0.41284143747566465,0,151,0,135
route_classifier_cheapest_success_r32_qkvo_mlp_input_only_10epoch,OSS20,286,0.3881118881118881,1.0,0.3881118881118881,0.5,1.0,0.0,0.5134362934362935,0.5871585563763039,111,0,175,0
route_classifier_cheapest_success_r64_qkvo_mlp_input_only_10epoch,OSS120,286,0.47202797202797203,0.0,0.527972027972028,0.5,0.0,1.0,0.47711552612214864,0.40934960294019923,0,151,0,135
route_classifier_cheapest_success_r64_qkvo_mlp_input_only_10epoch,OSS20,286,0.3881118881118881,1.0,0.3881118881118881,0.5,1.0,0.0,0.4901930501930502,0.5906504042498715,111,0,175,0
joint_outcome_oversample_r32_qkvo_mlp_semantic_late_fusion_input_only_10epoch,OSS120,286,0.47202797202797203,0.9405594405594405,0.45454545454545453,0.4791268089281334,0.9185185185185185,0.039735099337748346,0.469168506254599,0.5975417079000206,124,6,145,11
joint_outcome_oversample_r32_qkvo_mlp_semantic_late_fusion_input_only_10epoch,OSS20,286,0.3881118881118881,0.055944055944055944,0.6118881118881119,0.5131788931788932,0.07207207207207207,0.9542857142857143,0.593976833976834,0.4171839850349026,8,167,8,103
